Sample_ID,BRAF
TCGA-A6-2672,1
TCGA-AA-A00D,1
TCGA-AA-A00J,1
TCGA-AA-A01D,1
TCGA-AA-A01P,1
TCGA-AA-A022,1
TCGA-AA-3516,1
TCGA-AA-3525,1
TCGA-AA-3543,1
TCGA-AA-3664,1
TCGA-AA-3684,1
TCGA-AA-3715,1
TCGA-AA-3821,1
TCGA-AA-3833,1
TCGA-AA-3877,1
TCGA-AA-3947,1
TCGA-AA-3949,1
TCGA-AA-3966,1
TCGA-AG-A002,1
TCGA-AG-3578,1
TCGA-AA-3542,1
TCGA-A6-2674,0
TCGA-A6-2677,0
TCGA-A6-2678,0
TCGA-A6-2683,0
TCGA-A6-3807,0
TCGA-A6-3808,0
TCGA-A6-3810,0
TCGA-AA-A00A,0
TCGA-AA-A00E,0
TCGA-AA-A00F,0
TCGA-AA-A00K,0
TCGA-AA-A00L,0
TCGA-AA-A00N,0
TCGA-AA-A00O,0
TCGA-AA-A00Q,0
TCGA-AA-A00R,0
TCGA-AA-A00U,0
TCGA-AA-A00W,0
TCGA-AA-A00Z,0
TCGA-AA-A01F,0
TCGA-AA-A01G,0
TCGA-AA-A01I,0
TCGA-AA-A01K,0
TCGA-AA-A01Q,0
TCGA-AA-A01R,0
TCGA-AA-A01S,0
TCGA-AA-A01T,0
TCGA-AA-A01V,0
TCGA-AA-A01X,0
TCGA-AA-A01Z,0
TCGA-AA-A02F,0
TCGA-AA-A02H,0
TCGA-AA-A02J,0
TCGA-AA-A02O,0
TCGA-AA-A02W,0
TCGA-AA-A02Y,0
TCGA-AA-A03F,0
TCGA-AA-A03J,0
TCGA-AA-A004,0
TCGA-AA-A010,0
TCGA-AA-A017,0
TCGA-AA-A024,0
TCGA-AA-A029,0
TCGA-AA-3514,0
TCGA-AA-3517,0
TCGA-AA-3518,0
TCGA-AA-3519,0
TCGA-AA-3520,0
TCGA-AA-3521,0
TCGA-AA-3522,0
TCGA-AA-3524,0
TCGA-AA-3526,0
TCGA-AA-3527,0
TCGA-AA-3529,0
TCGA-AA-3530,0
TCGA-AA-3531,0
TCGA-AA-3532,0
TCGA-AA-3534,0
TCGA-AA-3538,0
TCGA-AA-3544,0
TCGA-AA-3548,0
TCGA-AA-3549,0
TCGA-AA-3552,0
TCGA-AA-3553,0
TCGA-AA-3554,0
TCGA-AA-3555,0
TCGA-AA-3556,0
TCGA-AA-3558,0
TCGA-AA-3560,0
TCGA-AA-3561,0
TCGA-AA-3562,0
TCGA-AA-3666,0
TCGA-AA-3667,0
TCGA-AA-3672,0
TCGA-AA-3673,0
TCGA-AA-3678,0
TCGA-AA-3679,0
TCGA-AA-3680,0
TCGA-AA-3681,0
TCGA-AA-3685,0
TCGA-AA-3688,0
TCGA-AA-3692,0
TCGA-AA-3693,0
TCGA-AA-3695,0
TCGA-AA-3696,0
TCGA-AA-3710,0
TCGA-AA-3811,0
TCGA-AA-3812,0
TCGA-AA-3814,0
TCGA-AA-3818,0
TCGA-AA-3819,0
TCGA-AA-3831,0
TCGA-AA-3837,0
TCGA-AA-3842,0
TCGA-AA-3844,0
TCGA-AA-3845,0
TCGA-AA-3846,0
TCGA-AA-3848,0
TCGA-AA-3850,0
TCGA-AA-3851,0
TCGA-AA-3852,0
TCGA-AA-3854,0
TCGA-AA-3855,0
TCGA-AA-3856,0
TCGA-AA-3858,0
TCGA-AA-3860,0
TCGA-AA-3864,0
TCGA-AA-3866,0
TCGA-AA-3867,0
TCGA-AA-3869,0
TCGA-AA-3870,0
TCGA-AA-3872,0
TCGA-AA-3875,0
TCGA-AA-3930,0
TCGA-AA-3939,0
TCGA-AA-3941,0
TCGA-AA-3952,0
TCGA-AA-3955,0
TCGA-AA-3956,0
TCGA-AA-3971,0
TCGA-AA-3972,0
TCGA-AA-3973,0
TCGA-AA-3975,0
